"six_id","album_name","track_name","song_lyric"
1,"1989","All You Had To Do Was Stay","This is another way I've written songs recently. This is  a song I did with Jack Antonoff, and Jack is one of my friends and so we're hanging out and he pulled out his phone and goes ""I made this amazing track the other day. It's so cool, I love these guitar sounds."" And he played it for me and immediately I could hear this finished song in my head, and I just said ""Please, please let me have that. Let me play with is, send it to me"". And so he sent it to me and I was on tour and this was me playing the track on my laptop recording me singing the vocal into my phone and it ended up being a song called ""I Wish You Would"", because Jack wrote back and said ""I love that"". So this is another way of writing, it's writing to track:Okay so this is an idea called ""I Wish You Would"". It's kind of about this guy who's like, he's driving down the street at the middle of the night and he passes his ex-girlfriend's house and it's like, he thinks she hate him, but she's still in love with him, very dramatic. This track is sick, hope you like this_I wish you knew that_Do you like it!?_It's 2 am, in your car_Windows down, past my street the memories start_It's in the past_You drive straight ahead_You thinking that I hate you now_Cause you still don't know what I never said_I wish you would come back_Wish I never hung up the phone like I did_People like you always want back_All you had to do was stay_Had me in the palm of your hand_Then, why'd you have to go and lock me out when I let you in?(Stay!) Hey_Now, you say you want it back_Now that it's just too late_Well, could've been easy_All you had to do was (stay!)_All you had to do was (stay!)_All you had to do was (stay!)_All you had to do was (stay!)_The love they gave away_All you had to do was stay_Here you are now, calling me up_But I don't know what to say_I've been picking up the pieces_Of the mess you made_People like you always want back_The love they pushed aside_But people like me are gone forever_When you say goodbye_(Stay!) Hey_And people like me wanna believe you_All you had to do was stay_Had me in the palm of your hand_Then, why'd you have to go and lock me out when I let you in?(Stay!) Hey_Now, you say you want it back_Now that it's just too late_Well, could've been easy_All you had to do was (stay!)_All you had to do was (stay!)_All you had to do was (stay!)_All you had to do was (stay! stay! stay! stay! stay!)_When you say you've changed_Let me remind you_This was what you wanted (oh, oh, oh-oh-oh)_You ended it_You were all I wanted (oh, oh, oh-oh-oh)_But not like this_Not like this_Not like this_Oh, all you had to do was_(Stay!) Hey_All you had to do was stay_The more I think about it now_Had me in the palm of your hand_Then, why'd you want to go and lock me out when I let you in?(Stay!) Hey_Now, you say you want it back_Now that it's just too late_Well, could've been easy_All you had to do was_(Stay!) Hey_All you had to do was stay_Had me in the palm of your hand_Then, why'd you have to go and lock me out when I let you in?(Stay!) Hey_The less I know_Now, you say you want it back_Now that it's just too late_(All you had to do was stay)_Well, could've been easy_All you had to do was (stay!)_All you had to do was (stay!) (Oh)_All you had to do was (stay!)_All you had to do was (stay!) (Ooh)_All you had to do was (stay!)_All I know is that you drove us_Off the road_(Stay!) Hey"
2,"1989","Bad Blood","'Cause baby, now we've got bad blood_Did you have to ruin what was shiny?_Now it's all rusted_Did you have to hit me where I'm weak?_Baby, I couldn't breathe_And rub it in so deep_Salt in the wound like you're laughing right at me_Oh, it's so sad to_Think about the good times_You and I_'Cause baby, now we've got bad blood_You know it used to be mad love_You know it used to be mad love_So take a look what you've done_'Cause baby, now we've got bad blood, hey!Now we've got problems_And I don't think we can solve 'em_You made a really deep cut_And baby, now we've got bad blood, hey!_Did you think we'd be fine?_Still got scars in my back from your knives_So don't think it's in the past_These kinds of wounds they last and they last_So take a look what you've done_Now, did you think it all through?_All these things will catch up to you_And time can heal, but this won't_So if you're coming my way_Just don't_Oh, it's so sad to_Think about the good times_You and I_'Cause baby, now we've got bad blood_You know it used to be mad love_'Cause baby, now we've got bad blood, hey!Now we've got problems_So take a look what you've done_'Cause baby, now we've got bad blood, hey!Now we've got problems_And I don't think we can solve 'em_You made a really deep cut_And baby, now we've got bad blood, hey!_Band-aids don't fix bullet holes_You say sorry just for show_If you live like that, you live with ghosts_Band-aids don't fix bullet holes_You say sorry just for show_And I don't think we can solve 'em_If you live like that, you live with ghosts_If you love like that, blood runs cold!_'Cause baby, now we've got bad blood_You know it used to be mad love_So take a look what you've done_'Cause baby, now we've got bad blood, hey!Now we've got problems_And I don't think we can solve 'em (Think we can solve 'em)_You made a really deep cut_And baby, now we've got bad blood, hey!_'Cause baby, now we've got bad blood_You made a really deep cut_You know it used to be mad love_So take a look what you've done (Look what you've done)_'Cause baby, now we've got bad blood, hey!Now we've got problems_And I don't think we can solve 'em_You made a really deep cut_And baby, now we've got bad blood, hey!_And baby, now we've got bad blood, hey!_Did you have to do this?_I was thinking that you could be trusted"
3,"1989","Blank Space","One look, dark room_And your shoulders brush_No proof, one touch, but you felt enough_You can hear it in the silence (silence), silence (silence), you_You can feel it on the way home (way home), way home (way home), you_You can see it with the lights out (lights out), lights out (lights out)_You are in love, true love_You are in love_Morning, his place_Burnt toast, Sunday_You keep his shirt, he keeps his word_Meant just for you_And for once, you let go_Of your fears and your ghosts_One step, not much, but it said enough_You kiss on sidewalks_You fight and you talk_One night, he wakes_Strange look on his face_Pauses, then says ""You're my best friend""_And you knew what it was, he is in love_You can hear it in the silence (silence), silence (silence), you_Time moved too fast, you play it back_You can feel it on the way home (way home), way home (way home), you_You can see it with the lights out (lights out), lights out (lights out)_You are in love, true love_And so it goes_You two are dancing in a snow globe, 'round and 'round_And he keeps a picture of you in his office downtown_And you understand now_Why they lost their minds and fought the wars_And why I've spent my whole life trying to put it into words_'Cause you can hear it in the silence_Buttons on a coat, lighthearted joke_You can feel it on the way home_You can see it with the lights out_You are in love, true love_You are in love_You can hear it in the silence (silence), silence (silence), you_You can feel it on the way home (way home), way home (way home), you_You can see it with the lights out (lights out), lights out (lights out)_You are in love, true love_You are in love_You can hear it in the silence (silence), silence (silence), you_No proof, not much, but you saw enough_You can feel it on the way home (way home), way home (way home), you_You can see it with the lights out (lights out), lights out (lights out)_You are in love, true love_You are in love_Small talk, he drives_Coffee at midnight_The light reflects the chain on your neck_He says, ""Look up""_Nice to meet you, where you been?_I can read you like a magazine_Ain't it funny? Rumors fly_And I know you heard about me_So hey, let's be friends_I'm dyin' to see how this one ends_Grab your passport and my hand_I can make the bad guys good for a weekend_So it's gonna be forever_Or it's gonna go down in flames_You can tell me when it's over, mm_I could show you incredible things_If the high was worth the pain_Got a long list of ex-lovers_They'll tell you I'm insane_'Cause you know I love the players_And you love the game'Cause we're young and we're reckless_We'll take this way too far_It'll leave you breathless, hmm_Or with a nasty scar_Got a long list of ex-lovers_They'll tell you I'm insane_Magic, madness, heaven, sin_But I've got a blank space, baby_And I'll write your name_Cherry lips, crystal skies_I could show you incredible things_Stolen kisses, pretty lies_You're the King, baby, I'm your Queen_Find out what you want_Be that girl for a month_Wait, the worst is yet to come_Oh, no_Saw you there, and I thought_Screaming, crying, perfect storms_I can make all the tables turn_Rose garden filled with thorns_Keep you second guessin' like_""Oh my God, who is she?""_I get drunk on jealousy_But you'll come back each time you leave_'Cause, darling, I'm a nightmare dressed like a daydream_So it's gonna be forever_Or it's gonna go down in flames_""Oh my God, look at that face_You can tell me when it's over, mm_If the high was worth the pain_Got a long list of ex-lovers_They'll tell you I'm insane_'Cause you know I love the players_And you love the game'Cause we're young and we're reckless_We'll take this way too far_It'll leave you breathless, hmm_Or with a nasty scar_Got a long list of ex-lovers_You look like my next mistake_They'll tell you I'm insane_But I've got a blank space, baby_And I'll write your name_Boys only want love if it's torture_Don't say I didn't, say I didn't warn ya_Boys only want love if it's torture_Don't say I didn't, say I didn't warn ya_So it's gonna be forever_Or it's gonna go down in flames_You can tell me when it's over, mm_Love's a game, wanna play?""_If the high was worth the pain_Got a long list of ex-lovers_They'll tell you I'm insane_'Cause you know I love the players_And you love the game'Cause we're young and we're reckless_We'll take this way too far_It'll leave you breathless, hmm_Or with a nasty scar_Got a long list of ex-lovers_They'll tell you I'm insane_Ayy_But I've got a blank space, baby_And I'll write your name_New money, suit and tie"
4,"1989","Clean","The drought was the very worst (Oh-oh, oh-oh)_And by morning_Gone was any trace of you, I think I am finally clean_(Oh, oh, oh, oh)_There was nothing left to do (Oh-oh, oh-oh)_When the butterflies turned to_Dust that covered my whole room_So I punched a hole in the roof (Oh-oh, oh-oh)_Let the flood carry away all my pictures of you_The water filled my lungs, I screamed so loud_But no one heard a thing_When the flowers that we'd grown together died of thirst_Rain came pouring down_When I was drowning, that's when I could finally breathe_And by morning_Gone was any trace of you, I think I am finally clean_(Oh, oh, oh, oh)_I think I am finally clean_(Oh, oh)_Oh, oh, oh, oh, oh-oh_Said, I think I am finally clean_(Oh, oh)_It was months and months of back and forth (Oh-oh, oh-oh)_Oh, oh, oh, oh, oh-oh_Ten months sober, I must admit_Just because you're clean, don't mean you don't miss it_Ten months older, I won't give in_Now that I'm clean, I'm never gonna risk it_The drought was the very worst (Oh-oh, oh-oh)_When the flowers that we'd grown together died of thirst_(Oh)_The rain came pouring down_When I was drowning, that's when I could finally breathe_You're still all over me_And by morning_Gone was any trace of you, I think I am finally clean_Rain came pouring down_When I was drowning, that's when I could finally breathe_And by morning_Gone was any trace of you, I think I am finally clean_(Oh, oh)_Finally clean_Think I'm finally clean_(Oh, oh)_Like a wine-stained dress I can't wear anymore_Oh-oh, oh-oh_(Oh, oh, oh)_Think I'm finally clean_Hung my head as I lost the war_And the sky turned black like a perfect storm_Rain came pouring down_When I was drowning, that's when I could finally breathe"
5,"1989","How You Get The Girl","Oh, oh, oh_That's how you get the girl_And then, you say_I want you for worse or for better_I would wait forever and ever_Broke your heart, I'll put it back together_I would wait forever and ever_And that's how it works_That's how you get the girl, girl (oh-oh, oh)_And that's how it works_That's how you get the girl, girl_Oh, oh, oh_Remind her how it used to be, be, yeah-yeah_With pictures in frames of kisses on cheeks, cheeks_Tell her how you must have lost your mind, ooh-ooh_When you left her all alone_And never told her why, why_And that's how it works_That's how you lost the girl_And now, you say_I want you for worse or for better_I would wait forever and ever (ever and ever)_Oh-oh, oh-oh_Broke your heart, I'll put it back together_I would wait forever and ever_And that's how it works_That's how you get the girl, girl (oh-oh, oh-oh)_And that's how it works_That's how you get the girl, girl_Yeah, yeah_And you know_Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh_That I don't want you to go, oh, oh_Stand there like a ghost_Remind me how it used to be_Pictures in frames of kisses on cheeks_And say you want me, yeah-yeah_And then you say_'Cause I want you for worse or for better (worse or for better)_I would wait forever and ever (ever and ever)_Broke your heart, I'll put it back together_I would wait forever and ever (I want you forever and ever)_And that's how it works_That's how you get the girl, girl (this is how it works)_Shaking from the rain, rain_And that's how it works_That's how you get the girl, girl (get the girl)_(That's how it works)_And that's how it works_That's how you get the girl, girl_(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)_And that's how it works_That's how you get the girl, girl_(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)_That's how it works_She'll open up the door and say, ""Are you insane?""_That's how you got the girl_Say it's been a long six months_And you were too afraid to tell her what you want, want_And that's how it works"
6,"1989","I Know Places","I can hear them whisper as we pass by_It's a bad sign, bad sign_Something happens when everybody finds out_See the vultures circling, dark clouds_Love's a fragile little flame, it could burn out_It could burn out_'Cause they got the cages, they got the boxes and guns_They are the hunters, we are the foxes and we run_Baby, I know places we won't be found_And they'll be chasing their tails trying to track us down_I, I, I, I_'Cause I, I know places we can hide_I know places, I know places_Lights flash and we'll run for the fences_Let them say what they want, we won't hear it_Loose lips sink ships all the damn time_Not this time_Just grab my hand and don't ever drop it, my love_They are the hunters, we are the foxes, and we run_Baby, I know places we won't be found_And they'll be chasing their tails trying to track us down_I, I, I, I_'Cause I, I know places we can hide_I know places_They are the hunters, we are the foxes, and we run_Just grab my hand and don't ever drop it, my love_Baby, I know places we won't be found_And they'll be chasing their tails trying to track us down_'Cause I, I know places we can hide_I know places_They take their shots, but we're bulletproof (I know places)_And you know for me, it's always you (I know places)_I, I, I, I_In the dead of night, your eyes so green (I know places)_And I know for you, it's always me (I know places)_I, I, I, I, I, I, I, I-I_I, I, I, I, I, I, I, I-I_I, I, I, I_I, I, I, I_I, I, I, I (I, I, I, I)_You stand with your hand on my waistline_It's a scene and we're out here in plain sight"
7,"1989","I Wish You Would","It's 2AM in your car_I wish you would_It's 2AM in my room_Headlights pass the window pane_I think of you_We're a crooked love in a straight line down_Makes you want to run and hide_But it makes you turn right back around_I wish you would come back_Wish I never hung up the phone like I did, IWish you knew that_I'd never forget you as long as I live, and I_Windows down, you pass my street, the memories start_Wish you were right here, right now, it's all good_I wish you would_I wish we could go back_And remember what we were fighting for, and I_Wish you knew that_I miss you too much to be mad anymore, and I_Wish you were right here, right now, it's all good_I wish you would_I, I, I, I, I, I wish I, wish I_I, I, I, I, I, I wish I, wish I_You say it's in the past, you drive straight ahead_I, I, I, I, I, I wish I, wish I_You always knew how to push my buttons_You give me everything and nothing_This mad, mad love makes you come running_To stand back where you stood_I wish you would, I wish you would_(I wish you would, I wish you would)_I wish you would, I wish you would_(I wish you would, I wish you would)_(I wish I, wish I)_You're thinking that I hate you now_2AM, here we are_See your face, hear my voice in the dark_We're a crooked love in a straight line down_Makes you wanna run and hide_But it made us turn right back around_I wish you would come back_Wish I never hung up the phone like I did, IWish you knew that_I'd never forget you as long as I live, and I_Wish you were right here, right now, it's all good_I wish you would_'Cause you still don't know what I never said_I wish you would come back_Wish I never hung up the phone like I did, IWish you knew that_I'd never forget you as long as I live, and I_Wish you were right here, right now, it's all good_I wish you would_I wish we could go back_And remember what we were fighting for, and IWish you knew that_I miss you too much to be mad anymore, and I_Wish you were right here, right now, it's all good_I wish you would_I wish you would come back_(I, I, I, I, I, I wish I, wish I)_You always knew how to push my buttons_You give me everything and nothing_This mad, mad love makes you come running_To stand back where you stood_I wish you would, I wish you would_(I wish you would, I wish you would)_I wish you would, I wish you would_(I wish you would, I wish you would, I wish you would)_(I, I, I, I, I, I wish I, wish I)_Wish I never hung up the phone like I did, IWish you knew that_I, I, I, I, I, I wish I, wish I_I, I, I, I, I, I wish I, wish I_I wish you would_I'd never forget you as long as I live, and I_Wish you were right here, right now, it's all good"
8,"1989","Out Of The Woods","So over the years, a lot of people have asked me to sort of describe my song writing process from beginning to end. How long does it take, where do you write, what are the circumstances, do you start with music, do you start with lyrics, and my answer is always that it happens differently every time, and that's why I'm still so in love with song writing. So what I've done here is shown you three different examples of the beginning stages of these songs and how they each started, different ways. So I'll explain them to you and maybe that will help you understand kind of how I put songs together_And you come and sing and listen_I would not think about it but I'm not done_Every know that a thing or two about it, thing or two about it, I_Cause they got the cages, they got the boxes_And guns_They are the hunters we are the foxes_And we run_Baby, I know places we won't be found_And they'll be chasing their tails trying to track us down_Cause I, I know places we can hide_I sent this voice memo to Ryan Tedder because I'd always wanted to work with him, and finally we scheduled some studio time. So I always wanna be prepared. I wanted to send him the idea that I was working on before we went into the studio just in case he wrote back and said ""I can't stand that, I wanna work on something else, think of something else"". So I just sat down with the piano, put my phone on top of the piano and just kind of explained to him where I wanted to go with the song, how I saw the melody sitting in and we ended up recording the song the next day and it ended up being on the record called ""I Know Places"". So this was the voice memo I sent to him the night before we ended up finishing the song""Okay so this is kind of this rough idea thing:_I know places, I know places_Uh-uh-uh-i, uh-uh-uh-i, oh-oh-i, uh-uh-uh-i, no places_Or whatever I don't know, but that's basically just like a dark, really dark, lyric like bridge thing and it's about like everyone is trying to get into and ruin a love or whatever and it's like you just, whatever, you know, and the chorus would just go to that major and just be like ooh chorus. So I hope you like it, it wouldn't be a piano thing_Uh-uh-uh-oh, oh-oh-oh-i_Oh-oh-oh, oh-oh-oh-i_Oh-oh-oh-oh, oh-oh-oh-i-i-i_Na na na na waiting at the back door_They're around and the vultures come around_And you know that they won't, they won't us_Say what they want 'bout, say what they want 'bout us_Looking at it now_Are we out of the woods yet? Are we out of the woods yet?_Are we out of the woods yet? Are we out of the woods?_Are we in the clear yet? Are we in the clear yet?_Are we in the clear yet? In the clear yet? Good_Are we out of the woods yet? Are we out of the woods yet?_Are we out of the woods yet? Are we out of the woods?_Are we in the clear yet? Are we in the clear yet?_Are we in the clear yet? In the clear yet? Good(Are we out of the woods?)_Looking at it now_Last December (last December)_It all seems so simple_We were built to fall apart_Then fall back together (back together)_Your necklace hanging from my neck_The night we couldn't quite forget_When we decided, we decided_To move the furniture so we could dance_Baby, like we stood a chance_Two paper airplanes flying, flying, flying_And I remember thinking_Are we out of the woods yet? Are we out of the woods yet?_We were lying on your couch_Are we out of the woods yet? Are we out of the woods? (Out of the woods)_Are we in the clear yet? Are we in the clear yet?_Are we in the clear yet? In the clear yet? Good_Are we out of the woods yet? Are we out of the woods yet?_Are we out of the woods yet? (Oh) Are we out of the woods?_Are we in the clear yet? Are we in the clear yet?_Are we in the clear yet? In the clear yet? Good(Are we out of the woods?)_Remember when you hit the brakes too soon?_Twenty stitches in a hospital room_When you started crying, baby, I did too_I remember_But when the sun came up, I was looking at you_Remember when we couldn't take the heat?_I walked out and said, ""I'm setting you free""But the monsters turned out to be just trees_When the sun came up, you were looking at me_You were looking at me, ooh_You were looking at me_(Are we out of the woods yet? Are we out of the woods yet?)_(Are we out of the woods yet? Are we out of the woods?)_I remember_(Are we in the clear yet? Are we in the clear yet?)_You took a Polaroid of us_(Are we in the clear yet? In the clear yet? Good)_Oh, I remember_Are we out of the woods yet? Are we out of the woods yet?_(Yeah)_Are we out of the woods yet? Are we out of the woods?_Are we in the clear yet? Are we in the clear yet?_(Are we?)_Are we in the clear yet? In the clear yet? Good_Are we out of the woods yet? Are we out of the woods yet?_Are we out of the woods yet? Are we out of the woods?_Then discovered (then discovered)_Are we in the clear yet? (Yeah)_Are we in the clear yet? (Yeah)_Are we in the clear yet? In the clear yet? Good_Are we out of the woods yet? Are we out of the woods yet?_Are we out of the woods yet? Are we out of the woods?_Are we in the clear yet? Are we in the clear yet?_Are we in the clear yet? In the clear yet? Good_Are we out of the woods yet? Are we out of the woods yet?_Are we out of the woods yet? Are we out of the woods?_Are we in the clear yet? Are we in the clear yet?_The rest of the world was black and white_Are we in the clear yet? In the clear yet? Good_But we were in screaming color_And I remember thinking"
9,"1989","Shake It Off","So this next clip is, uh, from a session that I had with Max Martin and Johan Shellback and what we like to do is we like to run, um, a recording on our phones of everything we're doing when we're putting a song together, just in case one of us blurts out a cool melody and then we forget about it, we want to go back and then-and replay the tape so that we can remind ourselves what exactly we were saying. Um, so I brought in this idea called ""Blank Space,"" and this was me playing it for Max and Johan for the first time and they're shouting out these production ideas like, you know the ""Oh!"" at the beginning of the chorus, um, and that ended up in the song. So, this is the very beginning stages of the song on the album called ""Blank Space.""""Nice to meet you, where you been?_Don't believe what you hear about me, hear about me'Cause it's gonna be forever, or gonna go -Yeah! Hey, hey!Gonna go down in flames_You can tell me when it's over -This is like a, like an early 2000s Nelly track_Long list of ex-love -_Got a long list of ex-lovers, they'll tell you I'm insane_But I've got a blank space, baby_*Click* I'll write your name_I've got a blank space, baby_*Click* I'll write your name""_That's awesome! I love it_Oh my god, everyone's gonna kill you_I could show you incredible things_Yeah!_Diamonds, seasides, all those things_Like, oh my God, listen in_Listen in, I do too_We can all sing this and cry_thinking, all this time_Oh my God, listening_Just forget what you've heard about me_I stay out too late_Can't stop, won't stop movin'_It's like I got this music in my mind_Saying it's gonna be alright_'Cause the players gonna play, play, play, play, play_And the haters gonna hate, hate, hate, hate, hate_Baby, I'm just gonna shake, shake, shake, shake, shake_I shake it off, I shake it off_Heartbreakers gonna break, break, break, break, break_And the fakers gonna fake, fake, fake, fake, fake_Baby, I'm just gonna shake, shake, shake, shake, shake_Got nothing in my brain_I shake it off, I shake it off_I never miss a beat_I'm lightning on my feet_And that's what they don't see, mm, mm_That's what they don't see, mm, mm_I'm dancing on my own (Dancing on my own)_I make the moves up as I go (Moves up as I go)_And that's what they don't know, mm, mm_That's what they don't know, mm, mm_But I keep cruisin'_That's what people say, mm, mm_Can't stop, won't stop groovin'_It's like I got this music in my mind_Saying it's gonna be alright_'Cause the players gonna play, play, play, play, play_And the haters gonna hate, hate, hate, hate, hate_Baby, I'm just gonna shake, shake, shake, shake, shake_I shake it off, I shake it off_Heartbreakers gonna break, break, break, break, break_And the fakers gonna fake, fake, fake, fake, fake_Baby, I'm just gonna shake, shake, shake, shake, shake_That's what people say, mm, mm_I shake it off, I shake it off_Shake it off, I shake it off_I, I, I shake it off, I shake it off_I, I, I shake it off, I shake it off_I, I, I shake it off, I shake it off_Hey, hey, hey_Just think while you've been getting down and out about the liars_And the dirty, dirty cheats of the world_You could've been getting down_To this sick beat_I go on too many dates_My ex-man brought his new girlfriend_She's like, “Oh my God,” but I'm just gonna shake_And to the fella over there with the hella good hair_Won't you come on over, baby?_We can shake, shake, shake_Yeah, oh, oh, oh_'Cause the players gonna play, play, play, play, play_And the haters gonna hate, hate, hate, hate, hate_(Haters gonna hate)_Baby, I'm just gonna shake, shake, shake, shake, shake_But I can't make them stay_I shake it off, I shake it off_Heartbreakers gonna break, break, break, break, break (Mmhm)_And the fakers gonna fake, fake, fake, fake, fake_(And fake, and fake, and fake)_Baby, I'm just gonna shake, shake, shake, shake, shake_I shake it off, I shake it off_Shake it off, I shake it off_I, I, I shake it off, I shake it off_I, I, I shake it off, I shake it off_I, I, I shake it off, I shake it off_At least that's what people say, mm, mm_Shake it off, I shake it off_I, I, I shake it off, I shake it off_I, I, I shake it off, I shake it off_I, I, I shake it off, I shake it off (Yeah)_Shake it off, I shake it off_I, I, I shake it off, I shake it off (You got to)_I, I, I shake it off, I shake it off_I, I, I shake it off, I shake it off_That's what people say, mm, mm_But I keep cruisin'"
10,"1989","Style","We're all bored, we're all so tired of everything_'Cause baby, I could build a castle_Out of all the bricks they threw at me_And every day is like a battle_But every night with us is like a dream_Baby, we're the new romantics_Come on, come along with me_Heartbreak is the national anthem_We sing it proudly_We are too busy dancing to get knocked off our feet_Baby, we're the new romantics_We wait for trains that just aren't coming_The best people in life are free_We're all here, the lights and noise are blinding_We hang back, it's all in the timing_It's poker_You can't see it in my face_But I'm about to play my Ace (ahh)_We need love, but all we want is danger_We team up, then switch sides like a record changer_The rumors are terrible and cruel_But honey, most of them are true_We show off our different scarlet letters_(Ah, ah, ah, ah, ah, ah)_'Cause baby, I could build a castle_Out of all the bricks they threw at me_And every day is like a battle_But every night with us is like a dream_Baby, we're the new romantics_Come on, come along with me_Heartbreak is the national anthem_We sing it proudly_We are too busy dancing (yeah) to get knocked off our feet_Trust me, mine is better_Baby, we're the new romantics_The best people in life are free_(Oh, oh, oh-oh, oh)_Oh-oh_(Oh, oh, oh-oh, oh)_So, come on, come along with me_(Oh, oh, oh-oh, oh)_The best people in life are free_(Oh, oh, oh-oh, oh)_Please take my hand and_We're so young, but we're on the road to ruin_Please take me dancing, and_Please leave me stranded_It's so romantic (it's so romantic)_(Ah, ah, ah, ah, ah, ah)_Oh, 'cause baby, I could build a castle_Out of all the bricks they threw at me_And every day is like a battle, oh-oh_But every night with us is like a dream_'Cause baby, I could build a castle (castle)_Out of all the bricks they threw at me_We play dumb, but we know exactly what we're doing_And every day is like a battle_But every night with us is like a dream_Baby, we're the new romantics_Come on, come along with me_Heartbreak is the national anthem_We sing it proudly_We are too busy dancing to get knocked off our feet_Baby, we're the new romantics_The best people in life are free_We cry tears of mascara in the bathroom_Honey, life is just a classroom_(Ah, ah, ah, ah, ah, ah)_Midnight_Watch us go 'round and 'round each time_You got that James Dean daydream look in your eye_And I got that red lip classic thing that you like_And when we go crashing down, we come back every time_'Cause we never go out of style, we never go out of style_You got that long hair, slicked back, white t-shirt_And I got that good girl faith and a tight little skirt_And when we go crashing down, we come back every time'Cause we never go out of style, we never go out of style_So it goes_He can't keep his wild eyes on the road (mm)_You come and pick me up, no headlights_Takes me home_The lights are off, he's taking off his coat (mm, yeah)_I say, ""I heard, oh_That you've been out and about with some other girl""_Some other girl_He says, ""What you heard is true, but ICan't stop thinking 'bout you,"" and II said, ""I've been there too a few times""_'Cause you got that James Dean daydream look in your eye_And I got that red lip classic thing that you like_And when we go crashing down, we come back every time_'Cause we never go out of style, we never go out of style_Long drive_You got that long hair, slicked back, white t-shirt_And I got that good girl faith and a tight little skirt_(A tight little skirt)_And when we go crashing down, we come back every time'Cause we never go out of style (we never go, we never go)_We never go out of style_Take me home_Just take me home_Yeah, just take me home_Oh-oh, whoa-oh, oh_(Out of style)_Could end in burning flames or paradise_Oh, you got that James Dean daydream look in your eye_And I got that red lip classic thing that you like_And when we go crashing down (and when we go)_We come back every time_'Cause we never go out of style, we never go out of style_Fade into view, oh_It's been a while since I have even heard from you_(Heard from you)_And I should just tell you to leave, 'cause I_Know exactly where it leads, but I"
